# run,W0,D,L,Dp,delDp,phi,Dpcorr,eps,pamb,dpsErg,dpsK,Tmean,phase,phaseshift,TampL,timex,Nuf,Nus,Nuact
3.9000000e+01,1.2000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,5.0000000e-01,1.0132500e+05,6.2773079e+01,9.8354729e+01,2.8314888e+02,8.3207144e-02,1.4041029e-02,7.6470125e+00,2.8580101e-01,4.2727672e+01,4.2658735e+01,9.3121252e+01
4.0000000e+01,1.5000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,5.0000000e-01,1.0132500e+05,9.7482672e+01,1.5336953e+02,2.8310274e+02,8.2549558e-02,1.2955480e-02,9.8208460e+00,2.8494296e-01,5.3923662e+01,5.3816113e+01,1.0853151e+02
4.1000000e+01,1.8000000e-02,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,5.0000000e-01,1.0132500e+05,1.3979879e+02,2.2055477e+02,2.8313377e+02,8.2854221e-02,1.2945981e-02,1.1881970e+01,2.8442292e-01,6.5605643e+01,6.5546373e+01,1.2311892e+02
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.4530000e-01,1.0132500e+05,5.6267558e+01,8.7307199e+01,2.8311551e+02,8.2861506e-02,1.4411641e-02,4.6334859e+00,3.7016470e-01,2.9322780e+01,2.9218386e+01,7.3535347e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,4.9082682e+01,7.5955253e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.5005268e+01,4.3735362e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.5005268e+01,8.5276587e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
